date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:42	358581/358581	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:41%20GMT	https://www.dealabs.com/bons-plans/nettoyeur-haute-pression-parkside-phd-150-f4-1179046	C:/wamp64/www/indus/www.dealabs.com/bons-plans/nettoyeur-haute-pression-parkside-phd-150-f4-1179046.html	(from https://www.dealabs.com/bons-plans)
15:38:43	716337/716337	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:41%20GMT	https://www.dealabs.com/bons-plans/lidl	C:/wamp64/www/indus/www.dealabs.com/bons-plans/lidl.html	(from https://www.dealabs.com/bons-plans)
15:38:43	698/698	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Oct%202017%2000:56:35%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/318896_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/318896_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:43	840/840	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:42%20GMT	https://www.dealabs.com/visit/thread/1179046	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179046	(from https://www.dealabs.com/bons-plans)
15:38:44	262510/262510	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:42%20GMT	https://www.dealabs.com/bons-plans/boitier-pc-zalman-atx-r1-avec-fenetre-depackage-teste-approuve-1179070	C:/wamp64/www/indus/www.dealabs.com/bons-plans/boitier-pc-zalman-atx-r1-avec-fenetre-depackage-teste-approuve-1179070.html	(from https://www.dealabs.com/bons-plans)
15:38:44	710778/710778	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:43%20GMT	https://www.dealabs.com/bons-plans/rueducommerce	C:/wamp64/www/indus/www.dealabs.com/bons-plans/rueducommerce.html	(from https://www.dealabs.com/bons-plans)
15:38:44	754/754	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2020:38:47%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/229317_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/229317_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:44	1060/1060	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:43%20GMT	https://www.dealabs.com/visit/thread/1179070	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179070	(from https://www.dealabs.com/bons-plans)
15:38:45	202056/202056	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:44%20GMT	https://www.dealabs.com/bons-plans/nintendo-switch-mario-the-lapins-cretins-kingdom-battle-fr-frontaliers-belgique-1179102	C:/wamp64/www/indus/www.dealabs.com/bons-plans/nintendo-switch-mario-the-lapins-cretins-kingdom-battle-fr-frontaliers-belgique-1179102.html	(from https://www.dealabs.com/bons-plans)
15:38:46	699971/699971	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:44%20GMT	https://www.dealabs.com/bons-plans/dreamland.be	C:/wamp64/www/indus/www.dealabs.com/bons-plans/dreamland.html	(from https://www.dealabs.com/bons-plans)
